i	delta
1410	-0.149022
1411	-0.060448
1412	0.128157
1413	-0.234663
1414	-0.182700
1415	0.072444
1416	-0.087221
1417	-0.169958
1418	-0.053726
1419	0.059260
1420	0.121967
1421	0.137209
1422	0.087432
1423	0.055615
1424	0.149605
1425	0.042188
1426	-0.039172
1427	-0.033889
1428	-0.089957
1429	0.012913
1430	0.191959
1431	0.092656
1432	-0.077619
1433	0.009189
1434	-0.244307
1435	0.004594
1436	-0.210864
1437	-0.140199
1438	0.067808
1439	-0.009274
1440	-0.114720
1441	0.126049
1442	0.132973
1443	0.033194
1444	-0.006860
1445	-0.194149
1446	0.102650
1447	0.127737
1448	0.219990
1449	0.033024
1450	-0.249159
1451	-0.054313
1452	0.021438
1453	-0.246723
1454	0.044059
1455	-0.112169
1456	0.145052
1457	-0.142384
1458	-1.152024
1459	0.085504
1460	-0.581367
1461	-0.239429
1462	-0.234797
1463	-0.304634
1464	0.140448
1465	0.127001
1466	0.130561
1467	-0.230408
1468	0.154603
1469	-0.030656
1470	-0.180221
1471	0.135370
1472	0.027624
1473	0.051145
1474	-0.015091
1475	-0.084665
1476	0.206348
1477	0.055175
1478	0.056026
1479	-0.119517
1480	-0.125556
1481	-0.173190
1482	0.164615
1483	0.107809
1484	0.101796
1485	0.217075
1486	0.068476
1487	0.042694
1488	-0.091020
1489	0.004813
1490	0.163190
1491	-0.028823
1492	0.192158
1493	0.123242
1494	-0.146994
1495	-0.160741
1496	0.057243
1497	-0.010882
1498	-0.058083
1499	0.193902
1500	0.039686
1501	-0.121174
1502	0.253260
1503	-0.077651
1504	0.206067
1505	0.045210
1506	0.007694
1507	0.191328
1508	0.002359
1509	0.129619
1510	0.004634
1511	0.170397
1512	-0.079726
1513	-0.126803
1514	0.273251
1515	0.268645
1516	-0.203202
1517	-0.333869
1518	0.189956
1519	0.100857
1520	0.045368
1521	0.269113
1522	-0.018299
1523	-0.018487
1524	-0.119042
1525	-0.217347
1526	-0.005886
1527	-0.177074
1528	-0.284758
1529	-0.039442
1530	0.153761
1531	-0.174116
1532	0.158677
1533	0.189108
1534	0.026592
1535	0.072753
1536	-0.242960
1537	0.195783
1538	-0.028431
1539	0.118855
1540	0.155378
1541	-0.027276
1542	0.038766
1543	-0.203428
1544	-0.200556
1545	0.271685
1546	0.277728
1547	-0.155629
1548	-0.218444
1549	0.036074
1550	0.009407
1551	0.250430
1552	-0.158636
1553	0.257860
1554	0.103757
1555	-0.193569
1556	0.275776
1557	0.121016
1558	0.075325
1559	0.082877
1560	-0.071830
1561	-0.066509
1562	-0.194350
1563	-0.056556
1564	-0.224069
1565	0.045355
1566	-0.182594
1567	0.153308
1568	-0.204933
1569	-0.153148
1570	0.144226
1571	0.259606
1572	-0.180886
1573	-0.036848
1574	-0.026262
1575	-0.119124
1576	0.106299
1577	0.023867
1578	-0.015136
1579	-0.066368
1580	0.188682
1581	0.231314
1582	-0.113806
1583	0.037686
1584	0.143588
1585	0.209174
1586	0.088842
1587	0.020121
1588	-0.190356
1589	0.070700
1590	-0.037907
1591	0.012069
1592	-0.066995
1593	0.115248
1594	-0.028930
1595	0.316440
1596	0.344121
1597	-0.128808
1598	0.169209
1599	-0.107722
1600	0.207935
1601	-0.226882
1602	0.104463
1603	-0.227725
1604	0.289349
1605	0.117365
1606	-0.196061
1607	-0.257504
1608	-0.044060
1609	-0.081835
1610	-0.157512
1611	0.037457
1612	0.142409
1613	-0.274453
1614	0.210027
1615	0.071359
1616	-0.238160
1617	0.014518
1618	-0.083293
1619	0.085829
1620	-0.285832
1621	-0.176694
1622	0.108643
1623	-0.006796
1624	0.158447
1625	0.186450
1626	0.220393
1627	-0.072083
1628	-0.185770
1629	-0.185509
1630	-0.175789
1631	0.189904
1632	-0.118351
1633	0.203331
1634	0.085571
1635	-0.052965
1636	0.073947
1637	-0.289679
1638	-0.117885
1639	0.070685
1640	0.144668
1641	-0.057107
1642	0.187477
1643	-0.146974
1644	-0.070405
1645	0.026744
1646	-0.227140
1647	-0.145251
1648	0.115263
1649	-0.018487
1650	-0.001572
1651	-0.054436
1652	-0.004649
1653	-0.031469
1654	-0.008371
1655	0.053885
1656	0.126485
1657	-0.154694
1658	0.049110
1659	0.107395
1660	0.124650
1661	0.012001
1662	0.064929
1663	-0.122543
1664	-0.055305
1665	0.073252
1666	0.124989
1667	-0.002128
1668	-0.036406
1669	-0.142920
1670	0.221335
1671	-0.107591
1672	-0.217125
1673	0.156964
1674	0.086784
1675	0.064258
1676	-0.033691
1677	-0.148270
1678	0.052527
